,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,nmean,MeanEventBV,nBV,MeanEventTES,nTES,MeanEventPCS,nPCS,MeanJump,nJump,MeanSpin,nSpin,MeanStep Seq,nstepseq,MeanChor Seq,nchorseq,MeanSS,nSS,MeanTR,NTR,MeanPE,nPE,MeanCO,nCO,MeanIN,nIN
27,🇬🇪,Anastasiia Gubanova,0,2,0,1,0,192.12,3,88.26,3,100.32,3,92.47,3,6.58,30,3.68,18,4.39,6,3.66,3,7.64,6,7.4,6,7.71,6,7.71,6,7.82,6
28,🇰🇷,Haein Lee,0,0,2,1,0,191.61,3,89.85,3,97.49,3,94.79,3,6.23,30,3.62,18,4.48,6,4.55,3,7.94,6,7.7,6,7.89,6,7.96,6,7.98,6
29,🇯🇵,Rino Matsuike,0,0,2,1,0,190.91,3,86.56,3,97.54,3,94.04,3,6.16,30,3.93,18,3.98,6,4.41,3,7.83,6,7.61,6,7.8,6,7.86,6,7.84,6
30,🇷🇺,Mariia Zakharova,1,0,0,0,0,190.33,1,96.32,1,104.29,1,87.04,1,7.29,10,3.88,6,4.06,2,Null,0,7.45,2,7.12,2,7.34,2,7.27,2,7.38,2
31,🇷🇺,Elizaveta Kulikova,2,0,0,0,0,190.14,2,90.52,2,104.65,2,85.98,2,7.13,20,4.09,12,4.41,4,Null,0,7.04,4,6.96,4,7.25,4,7.18,4,7.2,4
32,🇰🇷,Chaeyeon Kim,2,0,0,0,0,189.96,2,89.58,2,104.98,2,85.48,2,7.19,20,4.06,12,4.34,4,Null,0,7.25,4,7,4,7.11,4,7.04,4,7.02,4
33,🇵🇱,Ekaterina Kurakova,0,3,2,1,0,189.67,6,90.6,6,98.49,6,91.18,6,6.18,60,3.84,36,4.82,12,3.98,6,7.47,12,7.27,12,7.61,12,7.61,12,7.69,12
34,🇺🇸,Karen Chen,0,2,2,0,0,188.22,4,83.08,4,89.73,4,99.74,4,5.09,40,4.15,24,4.62,8,4.65,4,8.36,8,8.17,8,8.21,8,8.46,8,8.44,8
35,🇧🇾,Viktoriia Safonova,0,3,1,1,0,187.85,5,92.59,5,100.97,5,87.07,5,6.77,50,3.7,30,3.7,10,3.67,5,7.29,10,7.08,10,7.26,10,7.32,10,7.23,10
36,🇨🇦,Madeline Schizas,0,1,2,0,0,187.81,3,88.31,3,97.76,3,90.05,3,6.32,30,3.83,18,3.65,6,4.31,3,7.47,6,7.27,6,7.54,6,7.56,6,7.53,6
